text,sentiment,is_tricky
Life-saving diagnostic accuracy!,positive,False
Flawless symptom assessment tool.,positive,False
Revolutionary disease prediction model!,positive,False
Not bad for an AI tool.,positive,True
10/10 would recommend to clinicians.,positive,False
Spot-on COVID detection most times.,positive,True
Cutting-edge AI for healthcare.,positive,False
Better than some doctors.,positive,True
Essential tool for many households.,positive,True
Brilliant at early detection.,positive,False
User-friendly interface generally saves time.,positive,True
Accurate for major symptoms.,positive,True
Swift response for non-emergencies.,positive,True
Game-changing for basic care.,positive,True
Trustworthy for common conditions.,positive,True
Precise medication recommendations.,positive,False
Detected what others missed.,positive,True
Intuitive design for most ages.,positive,True
Reliable for routine checks.,positive,True
Saved me some ER visits.,positive,True
Exceptional pediatric symptom analysis.,positive,False
Allergy detection works well.,positive,True
Chronic condition management simplified.,positive,True
Worth its weight in silver.,positive,True
Peace of mind in a pinch.,positive,True
Website crashes more than it works.,negative,False
Totally wrong diagnosis provided.,negative,False
Wasted hours with false alarms.,negative,False
Dangerously inaccurate at times.,negative,True
Missed critical symptoms.,negative,False
UI design is painfully confusing.,negative,False
Slow response nearly cost me.,negative,False
Unreliable for true emergencies.,negative,True
Glitchy beyond usability.,negative,False
Subscription not worth penny.,negative,False
Failed basic medical checks.,negative,False
Worse than random guessing.,negative,False
Misdiagnosed serious condition.,negative,False
Could harm vulnerable patients.,negative,False
Frequently freezes mid-use.,negative,True
Error messages instead of help.,negative,False
Data privacy concerns unresolved.,negative,False
App deleted my history.,negative,True
False positives caused panic.,negative,False
Not ideal for elderly users.,negative,True
Pediatric recommendations questionable.,negative,True
Allergy advice potentially risky.,negative,True
Chronic condition support lacking.,negative,False
Medication errors occurred.,negative,False
Could be better for migraines.,neutral,True
Food poisoning detection adequate.,neutral,True
Fatigue analysis somewhat helpful.,neutral,True
Rash diagnosis passable.,neutral,True
Decent cough assessment.,neutral,True
Fever tracking mostly accurate.,neutral,True
Nausea evaluation acceptable.,neutral,True
Headache diagnostics satisfactory.,neutral,True
